[[-56.06968518 -41.42335238 -21.87593494], [-39.64854765 -25.00221485  -5.45479742], [-33.03670561 -18.39037281   1.15704463]]
[[-56.06959639 -41.42186386 -21.87593494], [-39.64845887 -25.00072634  -5.45479742], [-33.03661683 -18.3888843    1.15704463]]
[[-56.06951719 -41.42053228 -21.87593494], [-39.64837967 -24.99939475  -5.45479742], [-33.03653762 -18.38755271   1.15704463]]
[[-56.0694337  -41.41913406 -21.87593494], [-39.64829617 -24.99799653  -5.45479742], [-33.03645413 -18.38615449   1.15704463]]
[[-56.06932004 -41.41722522 -21.87593494], [-39.64818251 -24.99608769  -5.45479742], [-33.03634047 -18.38424565   1.15704463]]
[[-56.06900649 -41.41197818 -21.87593494], [-39.64786897 -24.99084066  -5.45479742], [-33.03602693 -18.37899862   1.15704463]]
[[-56.06904303 -41.41260056 -21.87593494], [-39.6479055  -24.99146303  -5.45479742], [-33.03606346 -18.37962099   1.15704463]]
[[-56.06906003 -41.41289233 -21.87593494], [-39.64792251 -24.9917548   -5.45479742], [-33.03608046 -18.37991276   1.15704463]]
[[-56.06907848 -41.41320769 -21.87593494], [-39.64794095 -24.99207016  -5.45479742], [-33.03609891 -18.38022812   1.15704463]]
[[-56.06909982 -41.41357271 -21.87593494], [-39.64796229 -24.99243518  -5.45479742], [-33.03612025 -18.38059314   1.15704463]]
[[-56.06912557 -41.41401239 -21.87593494], [-39.64798805 -24.99287486  -5.45479742], [-33.03614601 -18.38103282   1.15704463]]
[[-56.06914398 -41.4143295  -21.87593494], [-39.64800646 -24.99319197  -5.45479742], [-33.03616442 -18.38134993   1.15704463]]
[[-56.06915382 -41.41449941 -21.87593494], [-39.64801629 -24.99336188  -5.45479742], [-33.03617425 -18.38151984   1.15704463]]
[[-56.06916207 -41.41464326 -21.87593494], [-39.64802454 -24.99350574  -5.45479742], [-33.0361825  -18.38166369   1.15704463]]
[[-56.06916589 -41.41471223 -21.87593494], [-39.64802836 -24.99357471  -5.45479742], [-33.03618632 -18.38173266   1.15704463]]
[[-56.06916812 -41.41475513 -21.87593494], [-39.6480306  -24.99361761  -5.45479742], [-33.03618855 -18.38177557   1.15704463]]
[[-56.06918778 -41.4150924  -21.87593494], [-39.64805025 -24.99395488  -5.45479742], [-33.03620821 -18.38211283   1.15704463]]
[[-56.06917684 -41.41491261 -21.87593494], [-39.64803932 -24.99377509  -5.45479742], [-33.03619728 -18.38193304   1.15704463]]
[[-56.06917591 -41.41490322 -21.87593494], [-39.64803839 -24.99376569  -5.45479742], [-33.03619634 -18.38192365   1.15704463]]
[[-56.0691753  -41.41489704 -21.87593494], [-39.64803777 -24.99375951  -5.45479742], [-33.03619573 -18.38191747   1.15704463]]
[[-56.06917045 -41.41481925 -21.87593494], [-39.64803293 -24.99368172  -5.45479742], [-33.03619089 -18.38183968   1.15704463]]
[[-56.06916418 -41.41471797 -21.87593494], [-39.64802666 -24.99358044  -5.45479742], [-33.03618462 -18.3817384    1.15704463]]
[[-56.0691619  -41.41468611 -21.87593494], [-39.64802438 -24.99354858  -5.45479742], [-33.03618234 -18.38170654   1.15704463]]
[[-56.06929259 -41.41689778 -21.87593494], [-39.64815507 -24.99576026  -5.45479742], [-33.03631302 -18.38391821   1.15704463]]
[[-56.06945164 -41.41958983 -21.87593494], [-39.64831411 -24.99845231  -5.45479742], [-33.03647207 -18.38661027   1.15704463]]
[[-56.06986394 -41.42655864 -21.87593494], [-39.64872642 -25.00542112  -5.45479742], [-33.03688438 -18.39357907   1.15704463]]
[[-56.06996593 -41.42828506 -21.87593494], [-39.6488284  -25.00714754  -5.45479742], [-33.03698636 -18.3953055    1.15704463]]
[[-56.07014655 -41.43133914 -21.87593494], [-39.64900903 -25.01020161  -5.45479742], [-33.03716699 -18.39835957   1.15704463]]
[[-56.07028694 -41.43371168 -21.87593494], [-39.64914942 -25.01257415  -5.45479742], [-33.03730738 -18.40073211   1.15704463]]
[[-56.07039654 -41.43556512 -21.87593494], [-39.64925901 -25.01442759  -5.45479742], [-33.03741697 -18.40258555   1.15704463]]
[[-56.07058052 -41.43867678 -21.87593494], [-39.649443   -25.01753925  -5.45479742], [-33.03760096 -18.40569721   1.15704463]]
[[-56.0706603  -41.44002597 -21.87593494], [-39.64952278 -25.01888844  -5.45479742], [-33.03768073 -18.4070464    1.15704463]]
[[-56.07099696 -41.44572172 -21.87593494], [-39.64985944 -25.0245842   -5.45479742], [-33.03801739 -18.41274216   1.15704463]]
[[-56.07113742 -41.44809511 -21.87593494], [-39.6499999  -25.02695759  -5.45479742], [-33.03815785 -18.41511554   1.15704463]]
[[-56.0712449  -41.44991172 -21.87593494], [-39.65010738 -25.02877419  -5.45479742], [-33.03826533 -18.41693215   1.15704463]]
[[-56.07134981 -41.45168593 -21.87593494], [-39.65021228 -25.0305484   -5.45479742], [-33.03837024 -18.41870636   1.15704463]]
[[-56.0714497  -41.45337293 -21.87593494], [-39.65031217 -25.0322354   -5.45479742], [-33.03847013 -18.42039336   1.15704463]]
[[-56.07155038 -41.45507567 -21.87593494], [-39.65041286 -25.03393815  -5.45479742], [-33.03857081 -18.42209611   1.15704463]]
[[-56.07165003 -41.45675965 -21.87593494], [-39.6505125  -25.03562213  -5.45479742], [-33.03867046 -18.42378008   1.15704463]]
[[-56.07171728 -41.45789702 -21.87593494], [-39.65057976 -25.03675949  -5.45479742], [-33.03873771 -18.42491745   1.15704463]]
[[-56.07179518 -41.45921307 -21.87593494], [-39.65065765 -25.03807554  -5.45479742], [-33.03881561 -18.4262335    1.15704463]]
[[-56.07189483 -41.46089829 -21.87593494], [-39.6507573  -25.03976076  -5.45479742], [-33.03891526 -18.42791872   1.15704463]]
[[-56.07194823 -41.46180018 -21.87593494], [-39.65081071 -25.04066266  -5.45479742], [-33.03896867 -18.42882061   1.15704463]]
[[-56.07197745 -41.46229043 -21.87593494], [-39.65083992 -25.04115291  -5.45479742], [-33.03899788 -18.42931087   1.15704463]]
[[-56.07204817 -41.4634889  -21.87593494], [-39.65091064 -25.04235138  -5.45479742], [-33.0390686  -18.43050934   1.15704463]]
[[-56.07206845 -41.46382924 -21.87593494], [-39.65093092 -25.04269172  -5.45479742], [-33.03908888 -18.43084968   1.15704463]]
[[-56.07237695 -41.46903789 -21.87593494], [-39.65123942 -25.04790037  -5.45479742], [-33.03939738 -18.43605833   1.15704463]]
[[-56.0725888  -41.47262011 -21.87593494], [-39.65145128 -25.05148258  -5.45479742], [-33.03960923 -18.43964054   1.15704463]]
[[-56.07275132 -41.4753667  -21.87593494], [-39.6516138  -25.05422918  -5.45479742], [-33.03977175 -18.44238713   1.15704463]]
[[-56.07293657 -41.47849607 -21.87593494], [-39.65179905 -25.05735855  -5.45479742], [-33.03995701 -18.4455165    1.15704463]]
[[-56.07321667 -41.48323356 -21.87593494], [-39.65207914 -25.06209603  -5.45479742], [-33.0402371  -18.45025399   1.15704463]]
[[-56.07344268 -41.48705506 -21.87593494], [-39.65230515 -25.06591754  -5.45479742], [-33.04046311 -18.45407549   1.15704463]]
[[-56.07361411 -41.48994874 -21.87593494], [-39.65247658 -25.06881121  -5.45479742], [-33.04063454 -18.45696917   1.15704463]]
[[-56.07383395 -41.49366411 -21.87593494], [-39.65269642 -25.07252658  -5.45479742], [-33.04085438 -18.46068454   1.15704463]]
[[-56.07401961 -41.49680318 -21.87593494], [-39.65288208 -25.07566565  -5.45479742], [-33.04104004 -18.46382361   1.15704463]]
[[-56.07418589 -41.49961457 -21.87593494], [-39.65304836 -25.07847704  -5.45479742], [-33.04120632 -18.466635     1.15704463]]
[[-56.07441129 -41.50342384 -21.87593494], [-39.65327377 -25.08228632  -5.45479742], [-33.04143173 -18.47044428   1.15704463]]
[[-56.07459454 -41.50652211 -21.87593494], [-39.65345702 -25.08538458  -5.45479742], [-33.04161497 -18.47354254   1.15704463]]
[[-56.07470602 -41.50840314 -21.87593494], [-39.6535685  -25.08726561  -5.45479742], [-33.04172645 -18.47542357   1.15704463]]
[[-56.07491058 -41.51186366 -21.87593494], [-39.65377306 -25.09072613  -5.45479742], [-33.04193102 -18.47888409   1.15704463]]
