[[850.6610687022902], [3193.7929759704252], [1.0]]
[[855.0305343511451], [3189.4066543438075], [1.0]]
[[859.4000000000002], [3202.5656192236597], [1.0]]
[[868.13893129771], [3202.5656192236597], [1.0]]
[[868.13893129771], [3202.5656192236597], [1.0]]
[[873.9648854961832], [3206.951940850277], [1.0]]
[[887.0732824427481], [3220.110905730129], [1.0]]
[[889.9862595419849], [3228.883548983364], [1.0]]
[[892.8992366412214], [3250.815157116451], [1.0]]
[[903.0946564885497], [3268.3604436229202], [1.0]]
[[901.6381679389314], [3281.519408502773], [1.0]]
[[895.8122137404581], [3285.90573012939], [1.0]]
[[900.181679389313], [3290.2920517560074], [1.0]]
[[901.6381679389314], [3294.6783733826246], [1.0]]
[[897.2687022900765], [3299.064695009242], [1.0]]
[[901.6381679389314], [3299.064695009242], [1.0]]
[[895.8122137404581], [3299.064695009242], [1.0]]
[[904.5511450381681], [3294.6783733826246], [1.0]]
[[897.2687022900765], [3294.6783733826246], [1.0]]
[[892.8992366412214], [3294.6783733826246], [1.0]]
[[901.6381679389314], [3290.2920517560074], [1.0]]
[[913.2900763358779], [3294.6783733826246], [1.0]]
[[922.0290076335879], [3299.064695009242], [1.0]]
[[930.7679389312979], [3290.2920517560074], [1.0]]
[[940.9633587786261], [3285.90573012939], [1.0]]
[[949.7022900763361], [3281.519408502773], [1.0]]
[[952.6152671755726], [3290.2920517560074], [1.0]]
[[938.0503816793895], [3290.2920517560074], [1.0]]
[[920.5725190839695], [3285.90573012939], [1.0]]
[[936.5938931297711], [3285.90573012939], [1.0]]
[[980.2885496183208], [3281.519408502773], [1.0]]
[[987.5709923664124], [3285.90573012939], [1.0]]
[[989.0274809160308], [3285.90573012939], [1.0]]
[[1000.6793893129773], [3277.1330868761547], [1.0]]
[[706.4687022900764], [483.0462107208873], [1.0]]
[[710.8381679389315], [483.0462107208873], [1.0]]
[[712.2946564885497], [487.43253234750455], [1.0]]
[[713.751145038168], [478.65988909426983], [1.0]]
[[716.6641221374048], [483.0462107208873], [1.0]]
[[719.5770992366413], [478.65988909426983], [1.0]]
[[946.7893129770994], [3250.815157116451], [1.0]]
[[952.6152671755726], [3255.2014787430685], [1.0]]
[[959.8977099236643], [3259.5878003696857], [1.0]]
[[964.2671755725194], [3263.974121996303], [1.0]]
[[970.0931297709926], [3277.1330868761547], [1.0]]
[[974.4625954198475], [3290.2920517560074], [1.0]]
[[977.3755725190842], [3299.064695009242], [1.0]]
[[981.7450381679391], [3307.8373382624764], [1.0]]
[[987.5709923664124], [3312.2236598890945], [1.0]]
[[990.4839694656491], [3312.2236598890945], [1.0]]
[[989.0274809160308], [3312.2236598890945], [1.0]]
[[989.0274809160308], [3307.8373382624764], [1.0]]
[[987.5709923664124], [3299.064695009242], [1.0]]
[[981.7450381679391], [3299.064695009242], [1.0]]
[[980.2885496183208], [3299.064695009242], [1.0]]
